그룹,진료년도,성별,연령,진료인원
그룹1,2024,남자,30-34세,422
그룹1,2024,남자,35-39세,542
그룹1,2024,남자,40-44세,868
그룹1,2024,남자,45-49세,1205
그룹1,2024,남자,50-54세,1962
그룹1,2024,남자,55-59세,2828
그룹1,2024,남자,60-64세,3818
그룹1,2024,남자,65-69세,4569
그룹1,2024,남자,70-74세,4579
그룹1,2024,남자,75-79세,5265
그룹1,2024,남자,80~84세,4992
그룹1,2024,남자,85세이상,3975
그룹1,2024,여자,0~4세,2260
그룹1,2024,여자,5-9세,115
그룹1,2024,여자,10-14세,95
그룹1,2024,여자,15-19세,148
그룹1,2024,여자,20-24세,171
그룹1,2024,여자,25-29세,258
그룹1,2024,여자,30-34세,316
그룹1,2024,여자,35-39세,388
그룹1,2024,여자,40-44세,587
그룹1,2024,여자,45-49세,644
그룹1,2024,여자,50-54세,1067
그룹1,2024,여자,55-59세,1293
그룹1,2024,여자,60-64세,1725
그룹1,2024,여자,65-69세,2308
그룹1,2024,여자,70-74세,2528
그룹1,2024,여자,75-79세,3197
그룹1,2024,여자,80~84세,3774
그룹1,2024,여자,85세이상,4240
그룹2,2020,남자,0~4세,34
그룹2,2020,남자,5-9세,7
그룹2,2020,남자,10-14세,14
그룹2,2020,남자,15-19세,18
그룹2,2020,남자,20-24세,10
그룹2,2020,남자,25-29세,18
그룹2,2020,남자,30-34세,33
그룹2,2020,남자,35-39세,48
그룹2,2020,남자,40-44세,74
그룹2,2020,남자,45-49세,120
그룹2,2020,남자,50-54세,180
그룹2,2020,남자,55-59세,232
그룹2,2020,남자,60-64세,347
그룹2,2020,남자,65-69세,319
그룹2,2020,남자,70-74세,218
그룹2,2020,남자,75-79세,164
그룹2,2020,남자,80~84세,94
그룹2,2020,남자,85세이상,26
그룹2,2020,여자,0~4세,33
그룹2,2020,여자,5-9세,8
그룹2,2020,여자,10-14세,11
그룹2,2020,여자,15-19세,9
그룹2,2020,여자,20-24세,14
그룹2,2020,여자,25-29세,32
그룹2,2020,여자,30-34세,21
그룹2,2020,여자,35-39세,29
그룹2,2020,여자,40-44세,35
그룹2,2020,여자,45-49세,62
그룹2,2020,여자,50-54세,59
그룹2,2020,여자,55-59세,88
그룹2,2020,여자,60-64세,112
그룹2,2020,여자,65-69세,126
그룹2,2020,여자,70-74세,108
그룹2,2020,여자,75-79세,122
그룹2,2020,여자,80~84세,67
그룹2,2020,여자,85세이상,30
그룹2,2021,남자,0~4세,48
그룹2,2021,남자,5-9세,*
그룹2,2021,남자,10-14세,6
그룹2,2021,남자,15-19세,20
그룹2,2021,남자,20-24세,24
그룹2,2021,남자,25-29세,33
그룹2,2021,남자,30-34세,49
그룹2,2021,남자,35-39세,62
그룹2,2021,남자,40-44세,113
그룹2,2021,남자,45-49세,140
그룹2,2021,남자,50-54세,226
그룹2,2021,남자,55-59세,313
그룹2,2021,남자,60-64세,374
그룹2,2021,남자,65-69세,385
그룹2,2021,남자,70-74세,277
그룹2,2021,남자,75-79세,189
그룹2,2021,남자,80~84세,108
그룹2,2021,남자,85세이상,36
그룹2,2021,여자,0~4세,34
그룹2,2021,여자,5-9세,6
그룹2,2021,여자,10-14세,12
그룹2,2021,여자,15-19세,7
그룹2,2021,여자,20-24세,19
그룹2,2021,여자,25-29세,36
그룹2,2021,여자,30-34세,24
그룹2,2021,여자,35-39세,36
그룹2,2021,여자,40-44세,49
그룹2,2021,여자,45-49세,44
그룹2,2021,여자,50-54세,79
그룹2,2021,여자,55-59세,97
그룹2,2021,여자,60-64세,131
그룹2,2021,여자,65-69세,170
그룹2,2021,여자,70-74세,129
그룹2,2021,여자,75-79세,125
그룹2,2021,여자,80~84세,91
그룹2,2021,여자,85세이상,37
그룹2,2022,남자,0~4세,52
그룹2,2022,남자,5-9세,*
그룹2,2022,남자,10-14세,13
그룹2,2022,남자,15-19세,11
그룹2,2022,남자,20-24세,19
그룹2,2022,남자,25-29세,36
그룹2,2022,남자,30-34세,41
그룹2,2022,남자,35-39세,66
그룹2,2022,남자,40-44세,95
그룹2,2022,남자,45-49세,128
그룹2,2022,남자,50-54세,231
그룹2,2022,남자,55-59세,260
그룹2,2022,남자,60-64세,430
그룹2,2022,남자,65-69세,382
그룹2,2022,남자,70-74세,304
그룹2,2022,남자,75-79세,195
